datum,predsolski,osnovnosolski,srednjesolci,studentje,odrasli_m,odrasli_z,upokojenci_m,upokojenci_z,skupaj
9/13/2011,0,0,0,3,5,2,2,5,17
9/14/2011,0,0,0,3,4,3,2,2,14
9/15/2011,0,0,0,3,4,6,0,0,13
9/16/2011,0,0,0,0,0,0,3,2,5
9/17/2011,0,0,0,3,6,5,0,0,14
8/18/2011,0,0,0,0,4,3,3,2,12
9/20/2011,0,0,0,4,4,5,3,3,19
9/21/2011,0,0,0,4,6,6,0,3,19
9/22/2011,0,0,0,2,8,6,2,3,21
9/23/2011,0,0,0,4,3,2,2,3,14
9/24/2011,0,0,0,0,3,0,1,2,6
9/25/2011,0,0,0,0,15,18,2,4,39
9/27/2011,0,0,28,1,7,2,1,1,40
9/28/2011,0,0,0,2,4,1,2,1,10
9/29/2011,0,0,0,3,3,4,0,1,11
9/30/2011,0,0,0,0,7,13,2,1,23
10/1/2011,0,0,0,0,10,14,0,0,24
10/2/2011,0,0,0,5,6,4,1,1,17
10/4/2011,0,0,0,0,2,2,3,3,10
10/5/2011,0,0,0,3,1,1,0,0,5
10/6/2011,0,0,0,0,1,1,2,2,6
10/7/2011,0,0,0,2,5,7,2,2,18
10/8/2011,0,0,0,3,5,7,0,2,17
10/9/2011,0,0,0,2,2,3,0,1,8
10/11/2011,0,0,0,0,1,3,2,3,9
10/12/2011,0,0,0,0,1,2,0,0,3
10/13/2011,0,0,0,0,2,3,2,1,8
10/14/2011,0,0,0,27,4,4,1,0,36
10/15/2011,0,0,0,7,5,4,3,2,21
10/16/2011,0,0,0,0,25,6,3,0,34
10/18/2011,0,0,0,0,2,1,1,0,4
10/19/2011,0,0,0,1,7,4,0,0,12
10/20/2011,0,0,0,3,3,4,0,0,10
10/21/2011,0,0,0,4,0,1,1,1,7
10/22/2011,0,1,0,3,5,2,1,1,13
10/23/2011,0,1,0,0,2,5,3,2,13
10/25/2011,0,1,0,0,2,3,1,0,7
10/26/2011,0,0,0,0,3,2,2,2,9
10/27/2011,0,0,0,0,1,4,0,1,6
10/28/2011,0,0,0,3,4,4,1,2,14
10/29/2011,0,5,0,5,5,4,1,0,20
10/30/2011,0,2,0,1,4,5,1,1,14
11/2/2011,0,1,1,0,6,7,1,1,17
11/3/2011,0,1,0,1,2,3,0,1,8
11/5/2011,0,1,0,1,2,1,0,0,5
11/6/2011,0,0,0,1,3,2,0,0,6
11/8/2011,0,0,0,4,2,2,0,0,8
11/9/2011,0,0,0,0,1,3,0,0,4
11/10/2011,0,0,0,2,0,1,0,0,3
11/11/2011,0,0,0,3,0,2,0,0,5
11/12/2011,0,0,0,1,4,4,2,0,11
11/13/2011,0,0,0,0,1,0,0,0,1
11/14/2011,0,0,0,8,1,2,0,0,11
11/16/2011,0,0,0,0,0,0,0,1,1
11/17/2011,0,0,0,2,3,1,1,2,9
11/18/2011,0,1,0,2,1,0,1,0,5
11/19/2011,0,0,0,1,5,4,1,1,12
11/20/2011,0,0,0,2,2,2,0,1,7
11/23/2011,0,0,0,0,3,0,0,0,3
11/24/2011,0,0,0,0,1,0,0,0,1
11/26/2011,0,0,0,0,0,0,0,0,0
11/1/2011,0,0,0,3,0,1,1,1,6
12/2/2011,0,0,0,0,0,0,20,23,43
12/6/2011,0,0,0,0,1,5,0,1,7
12/8/2011,0,0,0,0,0,0,0,0,0
12/9/2011,0,0,0,1,0,0,0,0,1
12/10/2011,0,0,0,0,0,0,0,0,0
12/15/2011,0,0,0,1,0,0,0,0,1
12/16/2011,0,0,0,0,0,0,0,0,0
12/17/2011,0,2,0,3,2,2,0,2,11
12/18/2011,0,0,0,5,1,2,2,2,12
12/20/2011,0,0,0,0,2,2,1,0,5
12/21/2011,0,0,0,0,1,0,2,1,4
12/27/2011,0,0,0,2,3,3,3,2,13
12/28/2011,0,4,0,2,4,10,0,0,20
12/29/2011,0,0,0,1,5,8,2,1,17
12/30/2011,0,2,0,8,12,11,3,0,25
12/31/2011,0,1,0,6,2,3,0,0,12
1/19/2012,0,0,0,0,0,0,3,3,6
1/20/2012,0,0,0,0,2,5,0,0,7
1/21/2012,0,0,0,2,2,1,0,0,5
1/22/2012,0,0,0,5,2,2,0,0,9
2/21/2012,0,0,0,0,0,0,0,0,0
2/22/2012,0,0,0,0,1,0,0,0,1
2/23/2012,0,1,0,2,2,3,2,2,12
2/24/2012,0,1,0,1,1,0,0,0,3
2/25/2012,0,0,0,0,1,1,0,0,2
2/29/2012,0,0,2,1,0,1,0,3,7
3/1/2012,0,0,0,0,0,0,1,1,2
3/2/2012,0,0,0,1,0,0,0,1,2
3/3/2012,0,2,0,0,1,0,0,0,3
3/7/2012,0,0,0,0,1,0,1,1,3
3/8/2012,0,0,0,4,3,5,0,0,12
3/9/2012,0,0,0,5,0,0,0,0,5
3/10/2012,0,0,0,2,3,3,0,0,8
3/13/2012,0,0,3,0,2,1,0,0,6
3/14/2012,0,0,3,13,1,0,0,0,17
3/15/2012,2,1,0,0,0,2,0,0,5
3/16/2012,0,0,0,0,2,1,1,0,4
3/17/2012,0,0,0,0,1,1,1,0,3
3/20/2012,0,0,0,0,0,1,0,0,1
3/21/2012,0,0,0,0,1,0,0,0,1
3/22/2012,0,0,0,3,0,1,0,0,4
3/23/2012,0,0,0,0,0,1,0,1,2
3/24/2012,0,0,0,0,0,0,0,0,0
3/25/2012,0,0,0,0,0,0,0,1,1
3/27/2012,0,0,0,0,0,0,0,4,4
3/28/2012,0,0,0,0,1,2,0,0,3
3/30/2012,0,0,3,0,1,0,0,0,4
4/1/2012,0,0,0,0,1,0,0,0,1
4/4/2012,0,0,0,0,3,0,0,0,3
4/5/2012,0,0,0,0,0,3,1,1,5
4/6/2012,0,0,0,5,1,2,0,0,8
4/7/2012,0,0,0,0,0,0,0,0,0
4/10/2012,0,0,0,2,6,9,0,0,17
4/11/2012,0,0,0,1,2,0,0,0,3
4/12/2012,0,0,0,2,2,2,0,1,7
4/13/2012,0,0,0,1,6,4,0,10,21
4/14/2012,0,0,0,0,4,1,0,0,5
4/15/2012,0,0,0,5,5,8,1,3,22
4/16/2012,0,0,0,2,2,1,3,4,12
4/20/2012,0,0,0,0,1,1,0,0,2
4/21/2012,0,0,0,3,4,4,2,1,14
4/24/2012,0,0,0,2,1,2,1,0,6
4/26/2012,0,0,3,0,2,3,1,1,10
4/27/2012,0,1,0,1,2,3,1,2,10
4/28/2012,0,0,0,0,1,1,1,1,4
4/29/2012,0,0,0,2,2,5,3,1,13
5/3/2012,0,0,0,0,1,0,0,0,1
5/5/2012,0,0,0,0,5,5,1,1,12
5/6/2012,1,4,0,1,7,6,2,2,23
5/8/2012,0,0,0,0,0,2,1,1,4
5/9/2012,0,0,0,0,3,2,1,1,7
5/10/2012,0,0,0,0,3,2,0,1,6
5/11/2012,0,0,0,15,4,3,0,0,22
5/12/2012,0,0,0,0,1,0,0,0,1
5/13/2012,0,1,0,1,8,7,2,2,21
5/15/2012,0,0,4,0,0,2,3,5,14
5/20/2012,0,0,0,0,3,4,0,0,7
5/22/2012,0,0,0,0,0,0,0,0,0
5/23/2012,0,0,1,0,1,2,0,0,4
5/25/2012,0,0,0,0,5,1,2,3,11
5/29/2012,0,0,0,0,1,2,2,2,7
5/30/2012,0,0,0,0,2,3,1,1,7
5/31/2012,0,0,0,0,5,5,0,0,10
6/1/2012,0,0,0,1,3,4,1,2,11
6/2/2012,0,0,0,0,3,2,3,3,11
6/5/2012,0,0,0,0,4,7,0,0,11
6/6/2012,0,0,0,0,0,0,0,0,0
6/7/2012,0,0,2,4,1,0,0,0,7
6/8/2012,0,0,0,2,3,1,0,0,6
6/9/2012,0,0,0,4,6,6,2,0,18
6/10/2012,0,1,0,0,3,3,0,0,7
6/12/2012,0,0,0,2,6,9,0,0,17
6/13/2012,0,0,0,1,1,0,2,2,6
6/14/2012,0,0,0,1,1,0,0,0,2
6/15/2012,0,0,1,0,5,4,0,1,11
6/17/2012,0,0,0,0,1,1,1,2,5
6/19/2012,0,2,0,6,3,3,0,0,14
6/20/2012,0,0,0,0,0,1,0,0,1
6/21/2012,0,0,0,0,0,0,1,1,2
6/24/2012,0,0,0,0,0,1,1,1,3
6/26/2012,0,0,0,2,6,8,3,2,21
6/27/2012,0,0,0,0,0,0,0,0,0
6/28/2012,1,2,0,0,3,5,1,1,13
6/29/2012,0,0,0,0,4,2,0,2,8
6/30/2012,0,1,0,6,3,5,2,1,18
7/1/2012,0,0,0,1,0,1,1,1,4
7/4/2012,0,0,2,2,10,12,0,2,28
7/5/2012,0,1,1,2,4,3,0,1,12
7/6/2012,0,0,0,1,7,6,1,2,17
7/7/2012,0,0,0,0,4,6,1,1,12
7/8/2012,0,0,0,6,2,6,2,2,18
7/10/2012,0,0,0,1,4,5,1,0,11
7/12/2012,0,0,0,0,0,0,0,0,0
7/13/2012,0,1,1,3,4,5,0,1,15
7/14/2012,0,0,0,2,6,5,1,0,14
7/17/2012,0,0,0,4,6,8,0,0,18
7/18/2012,0,1,0,4,2,0,1,0,8
7/19/2012,0,0,0,0,1,2,1,1,5
7/20/2012,0,1,0,2,1,1,0,0,5
7/21/2012,0,0,0,0,1,1,1,1,4
7/22/2012,0,0,0,6,6,7,1,2,22
7/24/2012,0,0,0,5,6,8,0,0,19
7/25/2012,0,0,0,3,6,4,0,0,13
7/26/2012,0,1,1,2,6,6,0,2,18
7/27/2012,0,0,0,5,7,7,0,0,19
7/28/2012,0,0,0,0,6,7,2,0,15
7/29/2012,0,0,0,2,5,4,0,0,11
7/31/2012,0,0,0,3,8,8,0,0,19
8/1/2012,0,0,0,2,7,9,0,2,20
8/2/2012,0,3,0,6,8,4,0,0,21
8/3/2012,0,1,0,6,3,4,0,1,15
8/4/2012,0,0,0,1,3,1,0,0,5
8/5/2012,0,1,2,8,10,10,1,1,33
8/7/2012,0,1,0,6,9,11,2,2,31
8/9/2012,0,0,0,3,5,5,0,0,13
8/11/2012,0,0,0,0,4,3,1,2,10
8/13/2012,0,0,0,0,12,12,0,0,24
8/14/2012,0,2,1,3,9,8,2,0,25
8/16/2012,0,1,0,0,0,1,0,0,2
8/19/2012,0,0,0,5,4,3,0,0,12
8/21/2012,0,0,0,4,4,5,3,3,19
8/22/2012,0,2,0,6,1,1,0,1,11
8/23/2012,0,1,2,8,2,4,0,3,20
8/24/2012,0,0,0,1,2,2,1,0,6
8/25/2012,0,0,0,1,0,0,0,0,1
8/26/2012,0,0,0,6,5,9,4,3,27
8/28/2012,0,0,0,3,3,3,0,0,9
8/29/2012,1,0,3,0,1,0,2,1,8
8/30/2012,0,0,0,4,4,2,1,1,12
9/4/2012,0,0,0,5,1,2,2,1,11
9/5/2012,0,0,16,8,3,5,2,1,35
9/6/2012,0,0,4,0,4,5,0,2,15
8/7/2012,0,0,0,2,3,3,0,0,8
9/13/2012,0,0,0,5,7,9,5,5,31
9/16/2012,0,0,0,2,7,6,4,4,23
9/19/2012,0,0,0,0,5,2,1,1,9
9/20/2012,0,0,0,0,4,3,0,1,8
9/21/2012,0,0,0,2,1,3,0,0,6
9/29/2012,0,0,0,3,4,2,6,6,21
9/30/2012,0,1,0,7,6,4,5,4,27
10/2/2012,0,0,0,25,2,2,1,1,31
10/3/2012,0,0,0,0,0,0,0,0,0
10/5/2012,0,0,0,0,3,4,0,0,7
10/6/2012,0,0,0,1,5,3,1,1,11
10/7/2012,0,1,0,3,0,1,2,3,10
10/9/2012,0,0,0,2,2,0,0,0,4
10/10/2012,0,0,0,1,1,0,0,0,2
10/11/2012,0,0,0,4,3,2,1,1,11
10/12/2012,0,0,0,1,3,2,0,0,6
10/14/2012,0,2,0,6,3,1,0,0,12
10/16/2012,0,0,0,1,1,1,0,0,3
10/17/2012,0,0,0,0,1,1,0,0,2
10/18/2012,0,0,0,4,2,1,2,0,9
10/19/2012,0,0,0,0,3,5,0,0,8
10/20/2012,0,0,0,0,2,0,0,0,2
10/21/2012,0,0,0,1,7,1,0,0,9
10/23/2012,0,0,0,0,1,1,0,1,3
10/26/2012,0,0,0,0,3,1,0,0,4
11/2/2012,1,1,0,4,1,1,1,1,10
11/4/2012,0,2,0,0,2,3,1,2,10
11/7/2012,0,0,0,0,1,0,0,0,1
11/9/2012,0,21,0,3,0,3,0,0,27
11/10/2012,2,0,0,3,2,3,0,1,11
11/13/2012,0,0,0,1,0,2,0,0,3
11/14/2012,0,0,0,1,0,1,0,0,2
11/15/2012,0,0,0,0,2,3,0,1,6
11/17/2012,0,0,0,0,15,15,2,1,33
11/18/2012,0,0,0,0,3,5,1,1,10
11/20/2012,0,0,0,2,1,0,0,1,4
11/23/2012,0,0,0,0,0,2,3,2,7
11/24/2012,0,0,0,0,0,0,0,3,3
11/25/2012,1,1,0,2,2,2,1,0,9
11/28/2012,0,0,0,0,1,0,0,0,1
11/30/2012,0,0,0,0,6,1,0,0,7
12/1/2012,0,0,0,0,5,2,0,0,7
12/4/2012,0,0,0,3,1,1,0,3,8
12/6/2012,1,0,0,7,2,0,0,0,10
12/7/2012,0,0,0,0,2,5,0,0,0
12/8/2012,0,0,0,3,4,2,1,0,0
12/9/2012,0,0,0,0,1,4,0,0,0
12/11/2012,0,0,0,1,2,1,1,1,0
12/12/2012,0,0,0,0,0,0,4,0,4
12/13/2012,0,0,0,0,6,4,0,0,10
12/14/2012,0,0,0,2,0,0,0,0,2
12/15/2012,0,0,0,0,0,0,0,0,0
12/16/2012,0,0,0,0,1,3,0,0,4
12/19/2012,0,0,0,0,5,18,0,0,23
12/20/2012,0,0,0,0,1,1,0,0,2
12/21/2012,0,0,0,0,2,1,0,0,3
12/22/2012,0,1,0,0,1,1,0,0,3
12/23/2012,0,0,0,1,2,3,2,3,11
12/26/2012,0,0,0,0,2,3,0,1,6
12/27/2012,0,0,0,5,5,3,0,1,26
12/28/2012,0,0,1,5,5,1,1,2,15
12/29/2012,0,0,0,2,6,3,0,0,11
12/30/2012,0,0,0,10,8,5,0,1,24
1/2/2013,0,0,0,1,5,3,1,1,11
1/3/2013,0,0,0,5,3,6,0,1,15
1/4/2013,0,0,0,0,2,0,0,0,2
1/5/2013,1,0,0,3,3,2,1,1,11
1/6/2013,0,0,0,3,1,0,1,0,5
1/8/2013,1,0,0,0,0,2,1,0,4
1/10/2013,0,0,0,0,1,1,0,0,2
1/11/2013,0,1,0,1,0,0,0,0,2
1/12/2013,0,1,0,2,1,2,0,1,9
1/13/2013,0,0,0,2,6,4,0,0,12
1/15/2013,0,0,0,2,0,2,2,1,7
1/16/2013,0,0,0,1,2,2,0,1,6
1/17/2013,0,0,0,2,1,1,0,0,4
1/18/2012,0,0,0,0,2,0,0,0,2
1/19/2013,0,0,0,1,3,1,0,0,5
1/20/2013,0,0,0,9,0,0,0,0,14
1/22/2013,1,1,0,0,2,2,0,0,6
1/23/2013,0,0,0,0,0,0,0,0,0
1/24/2013,0,0,0,0,2,2,0,0,4
1/25/2013,0,0,0,3,0,0,0,0,3
1/26/2013,0,1,0,0,3,0,1,2,7
1/27/2013,0,0,0,0,3,2,1,2,14
1/29/2013,0,0,0,0,3,1,0,0,4
1/30/2013,0,0,1,0,0,0,0,1,2
1/31/2013,0,2,0,1,0,0,1,3,7
2/1/2013,1,0,0,0,3,2,1,1,8
2/2/2013,0,0,0,2,5,7,1,1,16
2/3/2013,0,1,0,6,1,1,0,1,10
2/5/2013,0,0,0,1,1,0,0,0,2
2/6/2013,0,0,0,0,0,0,1,1,2
2/7/2013,1,0,0,2,1,0,0,0,4
2/8/2013,0,23,11,101,141,141,67,68,552
2/9/2013,0,0,0,0,1,1,0,1,3
2/10/2013,0,1,0,11,2,2,1,1,18
2/12/2013,0,0,0,0,0,0,1,1,2
2/13/2013,1,0,0,3,7,7,0,0,18
2/14/2013,0,0,0,2,3,4,0,0,9
2/15/2013,0,0,0,2,2,3,0,1,8
2/16/2013,0,0,0,2,7,7,0,0,16
2/17/2013,0,0,0,2,4,2,0,0,8
2/19/2013,0,0,0,1,0,0,0,0,1
2/20/2013,0,2,0,4,1,1,0,0,8
2/21/2013,0,1,0,0,1,1,0,0,3
2/22/2013,0,0,0,0,1,1,0,0,2
2/23/2013,0,0,0,9,2,1,1,3,20
2/24/2013,0,0,0,2,0,0,1,1,4
2/26/2013,0,1,0,4,0,1,0,0,6
2/27/2013,0,0,3,2,0,0,4,4,13
2/28/2013,1,4,0,3,4,4,1,2,19
3/1/2013,1,0,0,0,0,1,0,1,3
3/2/2013,0,0,0,2,0,0,1,2,5
3/3/2013,0,2,1,6,1,1,0,0,11
3/5/2013,0,0,0,3,0,0,1,1,5
3/6/2013,0,0,0,0,1,1,0,0,2
3/7/2013,2,0,22,13,5,2,3,0,47
